sample_name	canine_atopic_dermatitis_extent_and_severity_index_4	collection_timestamp	description	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_health_status	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	household_id	latitude	longitude	oclacitinib	pruritus_visual_analog_scale	qiita_study_id	sample_type	scientific_name	sex	taxid
13434.10A	0	2016-04-26	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Haina	5	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	10	9615	42	kilograms	4	51.026930	8.972260	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.10INT	0	2016-04-26	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Haina	5	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	10	9615	42	kilograms	4	51.026930	8.972260	did not receive	8	13434	skin	skin metagenome	female	1338477
13434.10L	0	2016-04-26	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Haina	5	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	10	9615	42	kilograms	4	51.026930	8.972260	did not receive	5	13434	skin	skin metagenome	female	1338477
13434.10O	0	2016-04-26	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Haina	5	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	10	9615	42	kilograms	4	51.026930	8.972260	did not receive	4	13434	skin	skin metagenome	female	1338477
13434.11A	0	2016-04-26	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Haina	4	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	11	9615	30	kilograms	4	51.026930	8.972260	did not receive	4	13434	skin	skin metagenome	female	1338477
13434.11INT	0	2016-04-26	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Haina	4	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	11	9615	30	kilograms	4	51.026930	8.972260	did not receive	2	13434	skin	skin metagenome	female	1338477
13434.11L	0	2016-04-26	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Haina	4	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	11	9615	30	kilograms	4	51.026930	8.972260	did not receive	2	13434	skin	skin metagenome	female	1338477
13434.11O	0	2016-04-26	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Haina	4	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	11	9615	30	kilograms	4	51.026930	8.972260	did not receive	8	13434	skin	skin metagenome	male	1338477
13434.1A	0	2016-02-18	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Giessen	10	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	1	9615	38.1	kilograms	1	50.583832	8.677890	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.1INT	0	2016-02-18	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Giessen	10	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	1	9615	38.1	kilograms	1	50.583832	8.677890	did not receive	8	13434	skin	skin metagenome	female	1338477
13434.1L	0	2016-02-18	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Giessen	10	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	1	9615	38.1	kilograms	1	50.583832	8.677890	did not receive	5	13434	skin	skin metagenome	female	1338477
13434.1O	0	2016-02-18	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Giessen	10	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	1	9615	38.1	kilograms	1	50.583832	8.677890	did not receive	4	13434	skin	skin metagenome	female	1338477
13434.25A	0	2016-07-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Ronneburg	9	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	25	9615	30.5	kilograms	5	50.862900	12.181160	did not receive	2	13434	skin	skin metagenome	male castrated	1338477
13434.25INT	0	2016-07-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Ronneburg	9	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	25	9615	30.5	kilograms	5	50.862900	12.181160	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.25L	0	2016-07-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Ronneburg	9	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	25	9615	30.5	kilograms	5	50.862900	12.181160	did not receive	8	13434	skin	skin metagenome	female	1338477
13434.25O	0	2016-07-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Ronneburg	9	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	25	9615	30.5	kilograms	5	50.862900	12.181160	did not receive	7	13434	skin	skin metagenome	female	1338477
13434.26A	0	2016-07-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Ronneburg	7	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	26	9615	46.5	kilograms	4	50.862900	12.181160	did not receive	0	13434	skin	skin metagenome	male castrated	1338477
13434.26INT	0	2016-07-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Ronneburg	7	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	26	9615	46.5	kilograms	5	50.862900	12.181160	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.26L	0	2016-07-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Ronneburg	7	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	26	9615	46.5	kilograms	5	50.862900	12.181160	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.26O	0	2016-07-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Ronneburg	7	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	26	9615	46.5	kilograms	5	50.862900	12.181160	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.28A	0	2016-10-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mainz	9	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	28	9615	32.5	kilograms	6	49.992863	8.247253	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.28INT	0	2016-10-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mainz	9	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	28	9615	32.5	kilograms	6	49.992863	8.247253	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.28L	0	2016-10-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mainz	9	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	28	9615	32.5	kilograms	6	49.992863	8.247253	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.28O	0	2016-10-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mainz	9	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	28	9615	32.5	kilograms	6	49.992863	8.247253	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.29A	0	2016-10-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mainz	6	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	29	9615	33	kilograms	6	49.992863	8.247253	did not receive	0	13434	skin	skin metagenome	female sprayed	1338477
13434.29INT	0	2016-10-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mainz	6	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	29	9615	33	kilograms	6	49.992863	8.247253	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.29L	0	2016-10-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mainz	6	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	29	9615	33	kilograms	6	49.992863	8.247253	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.29O	0	2016-10-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mainz	6	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	29	9615	33	kilograms	6	49.992863	8.247253	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.2A	0	2016-02-18	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Giessen	10	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	2	9615	35	kilograms	5	50.583832	8.677890	did not receive	4	13434	skin	skin metagenome	female	1338477
13434.2INT	0	2016-02-18	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Giessen	10	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	2	9615	35	kilograms	1	50.583832	8.677890	did not receive	2	13434	skin	skin metagenome	female	1338477
13434.2L	0	2016-02-18	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Giessen	10	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	2	9615	35	kilograms	1	50.583832	8.677890	did not receive	2	13434	skin	skin metagenome	female	1338477
