sample_name	primer	qiita_prep_id	run_prefix
13434.10A	missing	9721	SRR11515212
13434.10INT	missing	9721	SRR11515184
13434.10L	missing	9721	SRR11515171
13434.10O	missing	9721	SRR11515137
13434.11A	missing	9721	SRR11515122
13434.11INT	missing	9721	SRR11515179
13434.11L	missing	9721	SRR11515166
13434.11O	missing	9721	SRR11515131
13434.1A	missing	9721	SRR11515211
13434.1INT	missing	9721	SRR11515183
13434.1L	missing	9721	SRR11515170
13434.1O	missing	9721	SRR11515136
13434.25A	missing	9721	SRR11515176
13434.25INT	missing	9721	SRR11515182
13434.25L	missing	9721	SRR11515169
13434.25O	missing	9721	SRR11515135
13434.26A	missing	9721	SRR11515204
13434.26INT	missing	9721	SRR11515178
13434.26L	missing	9721	SRR11515164
13434.26O	missing	9721	SRR11515130
13434.28A	missing	9721	SRR11515147
13434.28INT	missing	9721	SRR11515174
13434.28L	missing	9721	SRR11515140
13434.28O	missing	9721	SRR11515127
13434.29A	missing	9721	SRR11515165
13434.29INT	missing	9721	SRR11515181
13434.29L	missing	9721	SRR11515168
13434.29O	missing	9721	SRR11515134
13434.2A	missing	9721	SRR11515193
13434.2INT	missing	9721	SRR11515177
13434.2L	missing	9721	SRR11515163
13434.2O	missing	9721	SRR11515129
13434.5A	missing	9721	SRR11515210
13434.5INT	missing	9721	SRR11515173
13434.5L	missing	9721	SRR11515139
13434.5O	missing	9721	SRR11515126
13434.6A	missing	9721	SRR11515133
13434.6INT	missing	9721	SRR11515180
13434.6L	missing	9721	SRR11515167
13434.6O	missing	9721	SRR11515132
13434.7A	missing	9721	SRR11515158
13434.7INT	missing	9721	SRR11515175
13434.7L	missing	9721	SRR11515162
13434.7O	missing	9721	SRR11515128
13434.8A	missing	9721	SRR11515185
13434.8INT	missing	9721	SRR11515172
13434.8L	missing	9721	SRR11515138
13434.8O	missing	9721	SRR11515125
13434.A12A	missing	9721	SRR11515209
13434.A12INT	missing	9721	SRR11515197
13434.A12L	missing	9721	SRR11515159
13434.A12O	missing	9721	SRR11515145
13434.A13A	missing	9721	SRR11515124
13434.A13INT	missing	9721	SRR11515203
13434.A13L	missing	9721	SRR11515190
13434.A13O	missing	9721	SRR11515153
13434.A14A	missing	9721	SRR11515120
13434.A14INT	missing	9721	SRR11515200
13434.A14L	missing	9721	SRR11515187
13434.A14O	missing	9721	SRR11515150
13434.A15A	missing	9721	SRR11515208
13434.A15INT	missing	9721	SRR11515195
13434.A15L	missing	9721	SRR11515157
13434.A15O	missing	9721	SRR11515144
13434.A16A	missing	9721	SRR11515123
13434.A16INT	missing	9721	SRR11515202
13434.A16L	missing	9721	SRR11515189
13434.A16O	missing	9721	SRR11515152
13434.A17A	missing	9721	SRR11515119
13434.A17INT	missing	9721	SRR11515199
13434.A17L	missing	9721	SRR11515186
13434.A17O	missing	9721	SRR11515149
13434.A18A	missing	9721	SRR11515207
13434.A18INT	missing	9721	SRR11515194
13434.A18L	missing	9721	SRR11515156
13434.A18O	missing	9721	SRR11515143
13434.A21A	missing	9721	SRR11515121
13434.A21INT	missing	9721	SRR11515201
13434.A21L	missing	9721	SRR11515188
13434.A21O	missing	9721	SRR11515151
13434.A22A	missing	9721	SRR11515118
13434.A22INT	missing	9721	SRR11515198
13434.A22L	missing	9721	SRR11515161
13434.A22O	missing	9721	SRR11515148
13434.A24A	missing	9721	SRR11515206
13434.A24INT	missing	9721	SRR11515192
13434.A24L	missing	9721	SRR11515155
13434.A24O	missing	9721	SRR11515142
13434.A27A	missing	9721	SRR11515205
13434.A27INT	missing	9721	SRR11515191
13434.A27L	missing	9721	SRR11515154
13434.A27O	missing	9721	SRR11515141
13434.A9A	missing	9721	SRR11515117
13434.A9INT	missing	9721	SRR11515196
13434.A9L	missing	9721	SRR11515160
13434.A9O	missing	9721	SRR11515146
