study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA624030	SRP255796	SAMN14565182	SRS6454300	SRX8086823	SRR11515117	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	a9A		PAIRED	AMPLICON	METAGENOMIC	PCR	30710	17656392	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	a9A	515YF-926R-P2-50-a9NFA_R1.fastq.gz	4254289;5853941	7994c5966cc37b56939a507de6044d24;2965c0209f5045cb0c74f65b6ad7eb9d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/017/SRR11515117/SRR11515117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/017/SRR11515117/SRR11515117_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/017/SRR11515117/SRR11515117_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/017/SRR11515117/SRR11515117_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/017/SRR11515117/SRR11515117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/017/SRR11515117/SRR11515117_2.fastq.gz							10500717	8c94f2df4602724b5308e609d152e5f6	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/017/SRR11515117	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/017/SRR11515117	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/017/SRR11515117				a9A		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565181	SRS6454299	SRX8086822	SRR11515118	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	a22A		PAIRED	AMPLICON	METAGENOMIC	PCR	24856	14325226	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	a22A	515YF-926R-P2-50-a22NFA_R1.fastq.gz	2684397;4114258	3c38a630b4f27f934573e6063a5c154b;a0cd398c1391034b281833254ba9a416	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/018/SRR11515118/SRR11515118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/018/SRR11515118/SRR11515118_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/018/SRR11515118/SRR11515118_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/018/SRR11515118/SRR11515118_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/018/SRR11515118/SRR11515118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/018/SRR11515118/SRR11515118_2.fastq.gz							8543776	9609eef6ffe65d6f596e6e84787b1c86	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/018/SRR11515118	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/018/SRR11515118	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/018/SRR11515118				a22A		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565180	SRS6454297	SRX8086821	SRR11515119	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	a17A		PAIRED	AMPLICON	METAGENOMIC	PCR	20496	11855898	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	a17A	515YF-926R-P2-50-a17NFA_R1.fastq.gz	2835917;3922758	3dcbfa6373856a5d1323767e079d6dad;616ecb2a522742c2a1cb4e650e0e3db2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/019/SRR11515119/SRR11515119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/019/SRR11515119/SRR11515119_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/019/SRR11515119/SRR11515119_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/019/SRR11515119/SRR11515119_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/019/SRR11515119/SRR11515119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/019/SRR11515119/SRR11515119_2.fastq.gz							7100410	8c6833cf5606b194f975dc7922621375	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/019/SRR11515119	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/019/SRR11515119	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/019/SRR11515119				a17A		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565179	SRS6454298	SRX8086820	SRR11515120	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	a14A		PAIRED	AMPLICON	METAGENOMIC	PCR	11197	6509912	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	a14A	515YF-926R-P2-50-a14NFA_R1.fastq.gz	1242840;1913080	3b4963ae695ddbf67168ee8bd2536794;11b6138e445a9f9c1cb780d43d293e51	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/020/SRR11515120/SRR11515120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/020/SRR11515120/SRR11515120_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/020/SRR11515120/SRR11515120_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/020/SRR11515120/SRR11515120_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/020/SRR11515120/SRR11515120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/020/SRR11515120/SRR11515120_2.fastq.gz							3924517	e80464d72dbfd0aa9e9cfe9e2da45c30	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/020/SRR11515120	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/020/SRR11515120	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/020/SRR11515120				a14A		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565178	SRS6454296	SRX8086819	SRR11515121	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	a21A		PAIRED	AMPLICON	METAGENOMIC	PCR	32728	18860829	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	a21A	515YF-926R-P1-50-a21NFA_R1.fastq.gz	4495391;6311622	22f45d6be64ecf9bc6286b49be0fdf21;da5f0c8fb767875f42e68015bd7cb089	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/021/SRR11515121/SRR11515121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/021/SRR11515121/SRR11515121_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/021/SRR11515121/SRR11515121_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/021/SRR11515121/SRR11515121_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/021/SRR11515121/SRR11515121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/021/SRR11515121/SRR11515121_2.fastq.gz							11394319	930f6ac273af56f19208638944d0e7e3	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/021/SRR11515121	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/021/SRR11515121	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/021/SRR11515121				a21A		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565133	SRS6454295	SRX8086818	SRR11515122	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	11A		PAIRED	AMPLICON	METAGENOMIC	PCR	238763	137575949	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	11A	515YF-926R-P2-50-11A_R1.fastq.gz	23814166;36823497	410dbc3823e3e40a1736ffd9cf9dc23a;9d57ef6a10c54cee0b69ac2e7f1e3cb9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/022/SRR11515122/SRR11515122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/022/SRR11515122/SRR11515122_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/022/SRR11515122/SRR11515122_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/022/SRR11515122/SRR11515122_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/022/SRR11515122/SRR11515122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/022/SRR11515122/SRR11515122_2.fastq.gz							80079946	b75dedc3e09782f9cca3d7fe12c35c99	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/022/SRR11515122	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/022/SRR11515122	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/022/SRR11515122				11A		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565177	SRS6454294	SRX8086817	SRR11515123	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	a16A		PAIRED	AMPLICON	METAGENOMIC	PCR	36902	21344080	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	a16A	515YF-926R-P1-50-a16NFA_R1.fastq.gz	5261176;7268020	451229020f1afc389cf5e7609c8d3b6d;d52e66dca0f30147db52b17afbef764a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/023/SRR11515123/SRR11515123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/023/SRR11515123/SRR11515123_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/023/SRR11515123/SRR11515123_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/023/SRR11515123/SRR11515123_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/023/SRR11515123/SRR11515123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/023/SRR11515123/SRR11515123_2.fastq.gz							13005546	cd6b2e97b2afb4f0b27a4f32d937084f	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/023/SRR11515123	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/023/SRR11515123	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/023/SRR11515123				a16A		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565176	SRS6454293	SRX8086816	SRR11515124	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	a13A		PAIRED	AMPLICON	METAGENOMIC	PCR	27282	15857910	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	a13A	515YF-926R-P1-50-a13NFA_R1.fastq.gz	3877145;5397241	95f2975e228980153005c9e12ae83ce8;91ba5b7384d440ccbd0102695ea530b2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/024/SRR11515124/SRR11515124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/024/SRR11515124/SRR11515124_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/024/SRR11515124/SRR11515124_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/024/SRR11515124/SRR11515124_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/024/SRR11515124/SRR11515124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/024/SRR11515124/SRR11515124_2.fastq.gz							9618104	6df32e980cc91dbdc74b220436e3f9f9	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/024/SRR11515124	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/024/SRR11515124	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/024/SRR11515124				a13A		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565175	SRS6454292	SRX8086815	SRR11515125	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	8O		PAIRED	AMPLICON	METAGENOMIC	PCR	22827	13219057	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	8O	515YF-926R-P3-50-8O_R1.fastq.gz	3197213;4447970	c90f4fa7beab3c466450744b44c26d30;e20ea12b49cbb5195e1f0d85819a23aa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/025/SRR11515125/SRR11515125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/025/SRR11515125/SRR11515125_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/025/SRR11515125/SRR11515125_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/025/SRR11515125/SRR11515125_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/025/SRR11515125/SRR11515125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/025/SRR11515125/SRR11515125_2.fastq.gz							7966242	cb45372e98a94e7f83911aff6e1f612e	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/025/SRR11515125	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/025/SRR11515125	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/025/SRR11515125				8O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565174	SRS6454291	SRX8086814	SRR11515126	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	5O		PAIRED	AMPLICON	METAGENOMIC	PCR	13356	7755268	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	5O	515YF-926R-P3-50-5O_R1.fastq.gz	1932267;2681240	9851c8b39053115c60fafdd43b13f55c;3534ea0343e4ada6ffcc1665632049ed	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/026/SRR11515126/SRR11515126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/026/SRR11515126/SRR11515126_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/026/SRR11515126/SRR11515126_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/026/SRR11515126/SRR11515126_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/026/SRR11515126/SRR11515126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/026/SRR11515126/SRR11515126_2.fastq.gz							4807560	b9540738e676b73c6db06a288df757f6	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/026/SRR11515126	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/026/SRR11515126	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/026/SRR11515126				5O		dog skin microbiome		2020-04-14
